Ссылка;ID;Монета;Цена;Капитализация;Торги 24;Цена мин;Дата мин цены;Цена макс;Дата макс цены
https://www.coingecko.com/en/coins/tokenize-xchange;4984;Tokenize Xchange;$14.59;$1,168,055,330;$22,912,973;$0.1113;Apr 28, 2019 (about 5 years);$22.30;Oct 31, 2022 (over 1 year)
https://www.coingecko.com/en/coins/cheelee;28573;Cheelee;$20.34;$1,150,531,361;$6,812,134;$3.44;Feb 13, 2023 (over 1 year);$20.47;May 21, 2024 (1 day)
https://www.coingecko.com/en/coins/flare;28624;Flare;$0.02817;$1,147,189,088;$9,380,110;$0.008274;Oct 19, 2023 (7 months);$0.1501;Jan 10, 2023 (over 1 year)
https://www.coingecko.com/en/coins/axie-infinity;13029;Axie Infinity;$7.85;$1,139,246,056;$41,238,535;$0.1237;Nov 06, 2020 (over 3 years);$164.90;Nov 06, 2021 (over 2 years)
https://www.coingecko.com/en/coins/dydx-chain;32594;dYdX;$2.03;$1,133,671,929;$9,844,635;$1.71;Apr 13, 2024 (about 1 month);$4.52;Mar 07, 2024 (3 months)
https://www.coingecko.com/en/coins/neo;480;NEO;$15.62;$1,101,504,202;$32,643,990;$0.07835;Oct 21, 2016 (over 7 years);$198.38;Jan 15, 2018 (over 6 years)
https://www.coingecko.com/en/coins/chiliz;8834;Chiliz;$0.1211;$1,075,626,297;$65,063,334;$0.004109;Sep 28, 2019 (over 4 years);$0.8786;Mar 13, 2021 (about 3 years)
https://www.coingecko.com/en/coins/jasmycoin;13876;JasmyCoin;$0.02199;$1,065,413,678;$128,951,785;$0.002750;Dec 29, 2022 (over 1 year);$4.79;Feb 16, 2021 (over 3 years)
https://www.coingecko.com/en/coins/marinade-staked-sol;17752;Marinade Staked SOL;$210.94;$1,064,214,999;$15,856,233;$8.93;Dec 29, 2022 (over 1 year);$261.93;Nov 07, 2021 (over 2 years)
https://www.coingecko.com/en/coins/worldcoin;31069;Worldcoin;$4.93;$1,057,778,129;$405,648,217;$0.9731;Sep 13, 2023 (8 months);$11.74;Mar 10, 2024 (2 months)
https://www.coingecko.com/en/coins/multiversx;12335;MultiversX;$39.10;$1,055,064,161;$25,320,282;$6.51;Oct 07, 2020 (over 3 years);$545.64;Nov 23, 2021 (over 2 years)
https://www.coingecko.com/en/coins/safe;27032;Safe;$2.45;$1,049,064,107;$25,175,095;$1.64;May 08, 2024 (14 days);$3.56;Apr 23, 2024 (about 1 month)
https://www.coingecko.com/en/coins/the-sandbox;12129;The Sandbox;$0.4599;$1,042,730,169;$1,380,653,409;$0.02898;Nov 04, 2020 (over 3 years);$8.40;Nov 25, 2021 (over 2 years)
https://www.coingecko.com/en/coins/ronin;20009;Ronin;$3.21;$1,042,591,457;$23,389,370;$0.1966;Nov 21, 2022 (over 1 year);$4.45;Mar 26, 2024 (about 2 months)
https://www.coingecko.com/en/coins/gatetoken;8183;Gate;$7.98;$1,039,734,066;$3,332,903;$0.2575;Mar 13, 2020 (about 4 years);$12.94;May 12, 2021 (about 3 years)
https://www.coingecko.com/en/coins/zebec-protocol;24342;Zebec Protocol;$0.02035;$1,036,064,951;$7,609.07;$0.005704;Oct 20, 2023 (7 months);$0.05277;Apr 13, 2022 (about 2 years)
https://www.coingecko.com/en/coins/wormhole;35087;Wormhole;$0.5722;$1,030,253,835;$85,293,657;$0.4725;Apr 13, 2024 (about 1 month);$1.66;Apr 03, 2024 (about 2 months)
